Feedstock,Feedstock코드,Origin,SHFT 영향성,API,Sulfur %,Nitrogen ppm,MCRT wt. %,Ni ppm,V ppm,Na ppm,Fe ppm,Ca ppm,ASP(C7) wt. %,V(100) cSt.
Seria Light,SRT,Brunei,1.0048498685806024,4.5,0.3,3118.0,10.8,15.1,0.9,18.584466019417476,74.4,16.793203883495146,0.0,38318.0
Pyrenees,PYR,Australia,1.0,10.5,0.6,4820.0,14.9,16.5,0.5,18.584466019417476,8.4,16.793203883495146,1.2,1529.0
Buzios,BUZ,Brazil,0.9944058808029149,9.0,0.7,7203.0,17.5,37.2,48.6,7.5,10.4,6.4,4.8,4530.0
Ten Blend,TEN,Ghana,0.9908522945587133,10.6,1.1,6406.0,13.8,47.2,19.3,9.0,0.9,0.0,0.1,1641.0
White Rose,WRS,Canada,0.9889551935728857,9.8,0.8,4558.0,12.7,20.4,2.0,8.0,5.5,0.8,3.3,210.0
Terra Nova,TNV,Canada,0.9851532717929603,10.7,1.5,3944.0,13.0,7.8,2.6,6.0,1.5,2.0,0.1,961.0
Sururu,SUR,Brazil,0.9830449477454342,9.1,0.7,7014.0,17.8,42.7,34.3,18.584466019417476,25.8,16.793203883495146,3.5,3903.0
Bonga,BGN,Nigeria,0.9791390193803895,8.5,0.7,6054.0,14.3,45.0,3.6,4.3,20.9,4.8,1.0,3444.0
Oseberg,OSB,Norway,0.9675530361425116,9.1,1.0,5009.0,18.6,19.6,18.4,3.1,8.9,9.9,3.2,2146.0
Access Western Blend,AWB,Canada,0.9653437400166338,-0.6,6.1,6332.0,30.1,124.8,248.0,0.0,7.3,6.8,19.6,1046857.0
Madura,MAD,Indonesia,0.9604590906622686,6.9,0.6,3054.0,19.2,108.1,12.3,18.584466019417476,24.4,16.793203883495146,3.5,23095.0
Mudi Mix,MUD,Indonesia,0.957783858516626,9.7,1.1,2899.0,24.1,9.1,5.3,18.584466019417476,1.2,16.793203883495146,7.9,631.0
Kutubu,KUT,Papua New Guinea,0.952695759371963,7.6,0.3,4347.0,15.4,7.5,2.5,18.584466019417476,38.6,16.793203883495146,2.6,1968.0
Okono,OKO,Nigeria,0.9464512172585543,8.4,0.4,4206.0,8.3,33.6,0.1,18.584466019417476,37.8,16.793203883495146,0.5,1262.0
Kikeh,KIK,Malaysia,0.9382454033955137,7.6,0.3,2693.0,10.1,9.0,2.4,18.584466019417476,39.4,16.793203883495146,1.6,1512.0
Umm Lulu,UML,U.A.E.,0.9264314517586123,11.0,2.1,2376.0,15.3,3.8,2.4,23.9,4.9,5.8,2.3,344.0
Lula,LUL,Brazil,0.9185480071416624,9.7,0.8,7315.0,14.7,48.1,41.7,13.8,9.1,20.5,2.3,3516.0
Nakhodoka SRFO,$NK,Russia,0.9155708363860721,8.2,1.6,5062.0,19.0,58.2,70.1,18.4,28.2,1.8,4.6,2382.0
Qua Iboe,QUI,Nigeria,0.8963163047510654,8.1,0.4,7868.0,15.9,59.2,0.2,18.584466019417476,24.4,16.793203883495146,4.2,2628.0
South Blend,SOB,Colombia,0.8923725794998748,4.9,1.4,5489.0,25.2,93.5,173.5,0.0,5.1,0.8,20.7,24899.0
Bonny Light,BON,Nigeria,0.8889645647751274,7.4,0.5,9707.0,15.9,53.0,0.2,18.584466019417476,45.8,16.793203883495146,0.8,3724.0
Van Gogh,VGH,Australia,0.8841686665015707,8.3,0.8,6005.0,15.2,28.0,0.5,18.584466019417476,18.9,16.793203883495146,2.2,5728.0
Brass River,BRA,Nigeria,0.880556449638375,8.4,0.5,7453.0,16.1,48.6,0.2,18.584466019417476,21.8,16.793203883495146,0.5,2822.0
Hibernia,HBN,Canada,0.8777427673250607,9.5,1.7,4854.0,14.5,14.6,7.6,15.2,5.1,1.1,1.6,1893.0
Murban,MUB,U.A.E.,0.8609423983802388,9.6,2.5,2965.0,16.9,26.5,32.2,2.0,3.6,2.1,1.9,630.0
Southern Green Canyon,SGC,U.S.A.,0.8561992630281777,1.4,4.8,3002.0,29.1,85.4,302.4,4.2,15.9,6.6,20.7,371120.0
Mandji,MAN,Gabon,0.8547890651964964,8.1,2.2,6302.0,17.9,234.1,141.6,8.6,18.0,5.3,7.6,6591.0
Alen Condensate,ACC,Guinea,0.8361155762782612,7.7,0.3,1493.0,14.8,2.3,2.1,18.584466019417476,8.2,16.793203883495146,0.2,1737.0
Oman,OMN,Oman,0.8356939823328488,9.0,3.1,3512.0,17.6,41.7,32.7,2.9,7.8,2.5,5.3,4138.0
Mellitah Condensate,MEL,Libya,0.8202870769845692,10.3,1.3,7493.0,14.6,4.7,7.4,18.584466019417476,0.3,16.793203883495146,0.6,345.0
DSW,DSW,U.S.A.,0.8185489347461895,4.9,2.7,5339.0,21.6,0.4,0.7,5.9,3.1,0.9,13.4,79940.0
Grane,GRN,Norway,0.8099800589184164,7.2,1.5,4964.0,17.5,19.0,55.9,32.1,32.3,12.7,3.3,8649.0
Wandoo,WAN,Australia,0.8036243931121574,7.4,0.3,5475.0,14.7,53.1,0.9,18.584466019417476,20.3,16.793203883495146,0.1,1107.0
Sokol,SOK,Russia,0.7988110099989978,7.9,1.3,6942.0,17.2,37.4,26.2,12.0,27.7,21.2,0.1,2185.0
Mero,MEP,Brazil,0.7965226639674382,9.3,0.8,9544.0,14.6,24.1,30.3,18.584466019417476,1.9,16.793203883495146,2.3,1175.0
Dalian,DAL,China,0.7961973743303047,7.0,1.0,7305.0,18.7,82.5,40.1,18.584466019417476,26.6,16.793203883495146,3.3,5263.0
ABO,ABO,Nigeria,0.7126460452747371,4.0,0.6,8178.0,16.1,61.8,3.6,18.584466019417476,57.9,16.793203883495146,4.0,5123.0
"Shell SRFO(MUB,ZKU)",S$S,U.A.E.,0.7107670702129126,6.1,3.5,5172.0,25.7,161.2,427.4,18.584466019417476,15.0,16.793203883495146,15.7,35553.0
Vincent,VIN,Australia,0.7065164942109857,8.6,0.9,4768.0,13.9,5.8,0.0,39.0,6.9,34.1,0.4,5668.0
Arabian Extra Light,AXL,Saudi Arabia,0.6970314226430804,8.0,3.4,2851.0,19.9,20.4,37.8,4.8,4.9,0.8,5.1,1120.0
Oguendjo,OGJ,Gabon,0.6963733104696904,6.5,2.8,5322.0,19.7,216.9,100.6,11.3,26.2,19.9,6.6,13886.0
Forties Blend,FRT,United Kingdom,0.6821555448230711,7.5,2.5,4933.0,17.9,34.5,91.9,12.4,4.9,2.6,3.6,2851.0
JOS,JOS,Norway,0.6478957838236636,5.4,1.9,5859.0,20.3,22.6,63.1,16.7,5.2,16.1,10.4,18632.0
Urals,URL,Russia,0.6294501743340432,6.2,3.1,4782.0,20.8,84.1,246.8,8.5,13.3,9.6,7.5,8648.0
Poseidon,POS,U.S.A.,0.6204140442031667,2.0,4.8,4441.0,27.6,105.6,372.5,4.8,15.0,4.4,18.4,154297.0
Alaskan North Slope,ANS,U.S.A.,0.5835729180782081,5.0,2.3,5482.0,23.0,60.0,131.0,8.3,10.2,15.0,12.3,4421.0
Hebron,HBR,Canada,0.5793199304513622,7.2,1.7,5099.0,18.5,21.8,13.0,34.1,10.1,44.3,5.0,8341.0
Triton,TRI,United Kingdom,0.5697742611547298,11.9,1.4,4735.0,15.1,16.5,63.6,145.9,14.9,32.9,2.2,772.0
Qatar Land,QTL,Qatar,0.5695831538508936,7.8,4.1,2108.0,13.6,10.1,24.9,9.4,6.1,5.5,5.1,1240.0
Thunder Horse,TDH,Mexico,0.5667171123037642,5.3,2.2,4462.0,21.4,61.9,68.6,30.1,14.3,27.0,11.6,12337.0
Dubai,DUB,Dubai,0.5583509468354764,1.8,4.3,4730.0,26.3,79.4,241.3,2.1,6.3,2.3,15.6,125683.0
Oseil,OSL,Indonesia,0.546171140793089,-2.2,7.5,2901.0,33.4,32.9,153.8,27.1,4.3,1.3,19.1,817913.0
Kuwait SRFO,K$W,Kuwait,0.49846142571164326,7.7,4.7,4752.0,23.0,44.5,136.7,18.584466019417476,3.9,16.793203883495146,10.9,3348.0
Russia SRFO,R$H,Russia,0.4798617373770907,3.3,3.8,5122.0,27.6,90.5,468.2,24.6,14.4,14.6,17.1,41519.0
수입 ADNOC MSFO,SRF,U.A.E.,0.4737036534986572,3.8,3.6,4212.0,25.1,50.4,143.8,17.7,15.7,15.7,13.0,21019.0
Khafji,KHJ,Saudi Arabia,0.47046847369769457,1.7,5.5,4311.0,27.7,63.1,203.0,4.9,13.0,4.1,17.3,121161.0
Hout,HOU,Neutral Zone,0.45432651789171535,5.0,4.7,4464.0,24.6,38.3,131.5,0.0,1.9,0.1,12.7,7616.0
